dilemma_id,file,personal_force,intentionality
1,dilemma_01.txt,personal,instrumental
2,dilemma_02.txt,impersonal,accidental
3,dilemma_03.txt,personal,accidental
4,dilemma_04.txt,impersonal,accidental
5,dilemma_05.txt,personal,accidental
6,dilemma_06.txt,impersonal,accidental
7,dilemma_07.txt,personal,instrumental
8,dilemma_08.txt,impersonal,instrumental
9,dilemma_09.txt,personal,instrumental
10,dilemma_10.txt,impersonal,instrumental
11,dilemma_11.txt,personal,instrumental
12,dilemma_12.txt,impersonal,instrumental
13,dilemma_13.txt,personal,instrumental
14,dilemma_14.txt,impersonal,instrumental
15,dilemma_15.txt,personal,accidental
16,dilemma_16.txt,impersonal,accidental
17,dilemma_17.txt,personal,instrumental
18,dilemma_18.txt,impersonal,accidental
19,dilemma_19.txt,personal,instrumental
20,dilemma_20.txt,impersonal,instrumental
21,dilemma_21.txt,personal,instrumental
22,dilemma_22.txt,impersonal,instrumental
23,dilemma_23.txt,personal,accidental
24,dilemma_24.txt,impersonal,accidental
25,dilemma_25.txt,personal,instrumental
26,dilemma_26.txt,impersonal,instrumental
27,dilemma_27.txt,personal,accidental
28,dilemma_28.txt,impersonal,accidental
29,dilemma_29.txt,personal,accidental
30,dilemma_30.txt,impersonal,accidental
31,dilemma_31.txt,personal,instrumental
32,dilemma_32.txt,impersonal,accidental
33,dilemma_33.txt,personal,instrumental
34,dilemma_34.txt,impersonal,instrumental
35,dilemma_35.txt,personal,instrumental
36,dilemma_36.txt,impersonal,instrumental
37,dilemma_37.txt,personal,instrumental
38,dilemma_38.txt,impersonal,instrumental
39,dilemma_39.txt,personal,instrumental
40,dilemma_40.txt,impersonal,accidental
41,dilemma_41.txt,personal,instrumental
42,dilemma_42.txt,impersonal,accidental
43,dilemma_43.txt,personal,instrumental
44,dilemma_44.txt,impersonal,instrumental
45,dilemma_45.txt,personal,accidental
46,dilemma_46.txt,impersonal,instrumental
47,dilemma_47.txt,personal,instrumental
48,dilemma_48.txt,impersonal,instrumental
49,dilemma_49.txt,personal,instrumental
50,dilemma_50.txt,impersonal,instrumental
51,dilemma_51.txt,personal,instrumental
52,dilemma_52.txt,impersonal,instrumental
